city,trips_in_first_30_days,signup_date,avg_rating_of_driver,avg_surge,last_trip_date,phone,surge_pct,ultimate_black_user,weekday_pct,avg_dist,avg_rating_by_driver,days_active,days_inactive,Sixth_Month_User
1,4,2014-01-25,4.7,1.1,2014-06-17,1,15.4,True,46.2,3.67,5.0,143,14,1.0
2,0,2014-01-29,5.0,1.0,2014-05-05,2,0.0,False,50.0,8.26,5.0,96,57,0.0
2,3,2014-01-06,4.3,1.0,2014-01-07,1,0.0,False,100.0,0.77,5.0,1,175,0.0
1,9,2014-01-10,4.6,1.14,2014-06-29,1,20.0,True,80.0,2.36,4.9,170,2,1.0
3,14,2014-01-27,4.4,1.19,2014-03-15,2,11.8,False,82.4,3.13,4.9,47,108,0.0
3,2,2014-01-09,3.5,1.0,2014-06-06,1,0.0,True,100.0,10.56,5.0,148,25,1.0
2,1,2014-01-24,4.9,1.0,2014-01-25,2,0.0,False,100.0,3.95,4.0,1,157,0.0
3,2,2014-01-28,5.0,1.0,2014-01-29,1,0.0,False,100.0,2.04,5.0,1,153,0.0
3,2,2014-01-21,4.5,1.0,2014-02-01,2,0.0,False,100.0,4.36,5.0,11,150,0.0
3,1,2014-01-03,4.9,1.0,2014-01-05,2,0.0,False,0.0,2.37,5.0,2,177,0.0
3,1,2014-01-13,5.0,1.0,2014-05-30,1,0.0,True,100.0,4.28,4.9,137,32,0.0
3,3,2014-01-06,4.0,1.0,2014-01-10,1,0.0,False,100.0,3.81,5.0,4,172,0.0
3,1,2014-01-15,4.9,1.0,2014-03-12,1,0.0,False,100.0,20.29,5.0,56,111,0.0
1,0,2014-01-29,4.0,1.38,2014-06-08,1,50.0,False,50.0,3.04,5.0,130,23,1.0
2,1,2014-01-27,4.9,1.0,2014-01-28,2,0.0,False,100.0,26.01,5.0,1,154,0.0
3,1,2014-01-15,4.9,1.0,2014-01-16,2,0.0,True,100.0,13.2,5.0,1,166,0.0
1,1,2014-01-11,5.0,1.0,2014-06-28,2,0.0,True,50.0,10.86,3.0,168,3,1.0
1,0,2014-01-12,3.9,1.0,2014-07-01,1,0.0,True,95.2,2.38,4.8,170,0,1.0
1,6,2014-01-28,4.6,1.21,2014-06-24,1,30.8,True,80.8,6.83,4.8,147,7,1.0
1,0,2014-01-02,5.0,1.17,2014-06-03,1,33.3,False,66.7,12.08,5.0,152,28,1.0
3,1,2014-01-31,4.9,1.0,2014-03-16,2,0.0,False,50.0,2.53,3.0,44,107,0.0
2,1,2014-01-09,4.9,1.0,2014-04-29,1,0.0,False,100.0,3.31,5.0,110,63,0.0
3,0,2014-01-24,4.9,1.0,2014-05-02,1,0.0,False,100.0,11.47,5.0,98,60,0.0
1,0,2014-01-21,5.0,1.0,2014-06-13,2,0.0,True,100.0,7.74,5.0,143,18,1.0
2,4,2014-01-19,4.5,1.02,2014-05-18,1,9.1,False,36.4,2.1,4.7,119,44,0.0
3,1,2014-01-02,4.9,1.0,2014-01-03,1,0.0,True,100.0,14.48,5.0,1,179,0.0
2,1,2014-01-16,4.0,1.0,2014-01-22,2,0.0,False,100.0,1.66,5.0,6,160,0.0
3,3,2014-01-19,5.0,1.05,2014-03-05,1,20.0,False,100.0,3.05,5.0,45,118,0.0
3,0,2014-01-19,4.9,1.5,2014-06-08,1,100.0,False,0.0,5.97,5.0,140,23,1.0
2,1,2014-01-27,4.0,1.0,2014-02-27,2,0.0,False,100.0,11.25,5.0,31,124,0.0
2,4,2014-01-26,5.0,1.0,2014-02-07,1,0.0,True,25.0,6.12,4.8,12,144,0.0
3,1,2014-01-25,4.9,1.0,2014-06-14,1,0.0,False,40.0,11.86,5.0,140,17,1.0
3,1,2014-01-05,4.0,2.0,2014-06-10,1,100.0,False,100.0,10.01,5.0,156,21,1.0
3,1,2014-01-27,4.9,1.0,2014-02-28,1,0.0,True,100.0,4.48,5.0,32,123,0.0
2,1,2014-01-16,4.9,1.25,2014-01-17,2,100.0,False,100.0,4.12,5.0,1,165,0.0
